rank,url,type,traffic_month,visibility_pct,prompt_id,prompt_text,branded,top3_competitors_occupying,priority_score,suggested_action
1,https://www.lancome.fr/beauty-magazine/beauty-magazine/la-routine-skincare-parfaite-pour-ma-peau.html,editorial,1169,0%,pr_a59f95cd-1ea1-4954-9374-ca915646ec5d,Quelle routine quotidienne adopter pour ralentir le vieillissement de la peau à 40 ans en 2026 ?,non_branded,La Roche-Posay | Vichy | Bioderma,1169.0,"Optimiser pour l'AI visibility : FAQ, structure H2/H3 claire, citations externes"
2,https://www.lancome.fr/beauty-magazine/beauty-magazine/la-routine-skincare-parfaite-pour-ma-peau.html,editorial,1169,0%,pr_15058a37-bf5b-4d4c-962c-d3f9138820e0,Quelle routine de nuit favorise la régénération de la peau et prolonge sa jeunesse ?,non_branded,La Roche-Posay | Clarins | Sisley,1169.0,"Optimiser pour l'AI visibility : FAQ, structure H2/H3 claire, citations externes"
3,https://www.lancome.fr/beauty-magazine/beauty-magazine/la-routine-skincare-parfaite-pour-ma-peau.html,editorial,1169,0%,pr_3d9b64c0-14a6-4bdd-87c1-55f669e1f3ba,Propose-moi une routine complète pour préserver la longévité de ma peau avec des produits haut de gamme en 2026.,non_branded,Sisley | La Prairie | Estée Lauder,1169.0,"Optimiser pour l'AI visibility : FAQ, structure H2/H3 claire, citations externes"
4,https://www.lancome.fr/beauty-magazine/beauty-magazine/la-routine-skincare-parfaite-pour-ma-peau.html,editorial,1169,14%,pr_57c24ab4-beed-4703-b753-664984457a47,Quelles sont les marques de soins longévité les plus recommandées par les influenceuses skincare en 2026 ?,non_branded,The Ordinary | Sunday Riley | Paula's Choice,1005.3,"Renforcer le contenu : ajouter des sections spécifiques au prompt, autorités citées"
5,https://www.lancome.fr/beauty-magazine/beauty-magazine/la-routine-skincare-parfaite-pour-ma-peau.html,editorial,1169,14%,pr_e623ce23-ae79-43a9-9999-e2e5fec4b0da,Quelle est la meilleure routine pour la longévité de la peau après 50 ans ? Avec noms de produits et prix.,non_branded,Sisley | La Prairie | Estée Lauder,1005.3,"Renforcer le contenu : ajouter des sections spécifiques au prompt, autorités citées"
6,https://www.lancome.fr/e-skin-expert.html,commercial,865,0%,pr_9d30904a-6aed-43c0-a426-9884a9e768bf,Quelle est la meilleure crème pour raffermir le visage ?,non_branded,Clarins | Estée Lauder | Sisley,865.0,"Optimiser pour l'AI visibility : FAQ, structure H2/H3 claire, citations externes"
7,https://www.lancome.fr/e-skin-expert.html,commercial,865,0%,pr_2772836e-c6f6-4d1b-a29b-0a6371faff92,Quels produits utiliser pour régénérer la peau de mon visage ?,non_branded,The Ordinary | La Roche-Posay | Neutrogena,865.0,"Optimiser pour l'AI visibility : FAQ, structure H2/H3 claire, citations externes"
8,https://www.lancome.fr/soin/par-categorie/serum-visage/,landing,760,0%,pr_76152213-9386-466a-b782-60cc2d1f8257,Quel est le meilleur sérum anti-âge en 2026 selon les dermatologues ?,non_branded,The Ordinary | La Roche-Posay | Neutrogena,760.0,"Optimiser pour l'AI visibility : FAQ, structure H2/H3 claire, citations externes"
9,https://www.lancome.fr/soin/par-categorie/serum-visage/,landing,760,0%,pr_28621324-b060-487f-a620-a1817f5f30b5,Quel sérum choisir pour ma peau ?,non_branded,The Ordinary | La Roche-Posay | SkinCeuticals,760.0,"Optimiser pour l'AI visibility : FAQ, structure H2/H3 claire, citations externes"
10,https://www.lancome.fr/soin/par-categorie/serum-visage/,landing,760,0%,pr_23db5e56-ebb0-42e1-97d0-6c6d32c790d2,Quel est le meilleur sérum pour l'éclat du teint ?,non_branded,The Ordinary | SkinCeuticals | Paula's Choice,760.0,"Optimiser pour l'AI visibility : FAQ, structure H2/H3 claire, citations externes"
11,https://www.lancome.fr/e-skin-expert.html,commercial,865,14%,pr_168ef5ac-4ed1-45e2-a644-6de48475bc9f,Quel est le meilleur sérum pour le visage ?,non_branded,The Ordinary | La Roche-Posay | SkinCeuticals,743.9,"Renforcer le contenu : ajouter des sections spécifiques au prompt, autorités citées"
12,https://www.lancome.fr/e-skin-expert.html,commercial,865,14%,pr_bcd7c300-228a-4130-9f71-ca9955108ae3,Quel est le sérum visage le plus efficace ?,non_branded,The Ordinary | La Roche-Posay | SkinCeuticals,743.9,"Renforcer le contenu : ajouter des sections spécifiques au prompt, autorités citées"
13,https://www.lancome.fr/soin/par-categorie/serum-visage/,landing,760,29%,pr_51f07930-6fc8-4cbb-877a-66b31a765829,Quel est le meilleur sérum anti-âge ?,non_branded,The Ordinary | La Roche-Posay | SkinCeuticals,539.6,"Renforcer le contenu : ajouter des sections spécifiques au prompt, autorités citées"
14,(à créer),other,0,0%,pr_3dd76502-9b97-449c-993a-2499b8deaca0,Quels produits utiliser pour prolonger la longévité de la peau en 2026 ?,non_branded,La Roche-Posay | Neutrogena | The Ordinary,500.0,Créer une page dédiée (aucune page existante ne couvre ce prompt)
15,(à créer),other,0,0%,pr_2f2d1b7d-c46e-4000-bc28-c905ffb07bda,Comment préserver la jeunesse de sa peau le plus longtemps possible ? Quels produits utiliser en 2026 ?,non_branded,La Roche-Posay | Vichy | Estée Lauder,500.0,Créer une page dédiée (aucune page existante ne couvre ce prompt)
16,(à créer),other,0,0%,pr_523f4a02-0b5c-4bfc-8802-4819de5cb36d,Quels sérums à base de probiotiques ou prébiotiques sont les plus efficaces pour la peau en 2026 ?,non_branded,The Ordinary | La Roche-Posay | Paula's Choice,500.0,Créer une page dédiée (aucune page existante ne couvre ce prompt)
17,(à créer),other,0,0%,pr_b4909284-00fb-457b-8772-dae5c83658f9,Quel est le meilleur contour des yeux anti-âge en 2026 ?,non_branded,Clarins | La Roche-Posay | Estée Lauder,500.0,Créer une page dédiée (aucune page existante ne couvre ce prompt)
18,(à créer),other,0,0%,pr_884240a4-6bbc-4503-8909-c1227046dbc7,Quel est le meilleur soin pour la régénération cellulaire ?,non_branded,The Ordinary | La Roche-Posay | SkinCeuticals,500.0,Créer une page dédiée (aucune page existante ne couvre ce prompt)
19,(à créer),other,0,0%,pr_e92f6ebb-574a-416e-874f-7cfcf2cc1c82,Quels sont les meilleurs soins pour la longévité de la peau selon les dermatologues en 2026 ?,non_branded,SkinCeuticals | La Roche-Posay | The Ordinary,500.0,Créer une page dédiée (aucune page existante ne couvre ce prompt)
20,(à créer),other,0,0%,pr_5805ad9d-d706-4ea0-8159-eabb846013d4,Quels sont les actifs scientifiquement prouvés pour la longévité de la peau en 2026 ? Propose-moi des produits.,non_branded,SkinCeuticals | The Ordinary | La Roche-Posay,500.0,Créer une page dédiée (aucune page existante ne couvre ce prompt)
